wilayah,tahun,ipm,kemiskinan,geo_name
Sorong Selatan,2018,61.01,19.14,SORONG SELATAN
Sorong Selatan,2018,,19.14,SORONG SELATAN
Sorong Selatan,2019,61.93,18.41,SORONG SELATAN
Sorong Selatan,2019,,18.41,SORONG SELATAN
Sorong Selatan,2020,62.42,18.28,SORONG SELATAN
Sorong Selatan,2020,,18.28,SORONG SELATAN
Sorong Selatan,2021,62.46,18.55,SORONG SELATAN
Sorong Selatan,2021,,18.55,SORONG SELATAN
Sorong Selatan,2022,63.08,18.48,SORONG SELATAN
Sorong Selatan,2022,63.08,18.48,SORONG SELATAN
Sorong Selatan,2023,63.94,18.11,SORONG SELATAN
Sorong Selatan,2023,63.94,18.11,SORONG SELATAN
Sorong Selatan,2024,,17.83,SORONG SELATAN
Sorong Selatan,2024,64.5,17.83,SORONG SELATAN
Sragen,2015,71.1,14.86,SRAGEN
Sragen,2016,71.43,14.38,SRAGEN
Sragen,2017,72.4,14.02,SRAGEN
Sragen,2018,72.96,13.12,SRAGEN
Sragen,2019,73.43,12.79,SRAGEN
Sragen,2020,73.95,13.38,SRAGEN
Sragen,2021,74.08,13.83,SRAGEN
Sragen,2022,74.65,12.94,SRAGEN
Sragen,2023,75.1,12.87,SRAGEN
Sragen,2024,75.53,12.41,SRAGEN
Subang,2015,66.52,12.27,SUBANG
Subang,2016,67.14,11.05,SUBANG
Subang,2017,67.73,10.77,SUBANG
Subang,2018,68.31,8.67,SUBANG
Subang,2019,68.69,8.12,SUBANG
Subang,2020,68.95,9.31,SUBANG
Subang,2021,69.13,10.03,SUBANG
Subang,2022,69.87,9.75,SUBANG
Subang,2023,70.7,9.52,SUBANG
Subang,2024,71.36,9.49,SUBANG
Sukabumi,2015,64.44,8.96,KOTA SUKABUMI
Sukabumi,2016,65.13,8.13,KOTA SUKABUMI
Sukabumi,2017,65.49,8.04,KOTA SUKABUMI
Sukabumi,2018,66.05,6.76,KOTA SUKABUMI
Sukabumi,2019,66.87,6.22,KOTA SUKABUMI
Sukabumi,2020,66.88,7.09,KOTA SUKABUMI
Sukabumi,2021,67.07,7.7,KOTA SUKABUMI
Sukabumi,2022,67.64,7.34,KOTA SUKABUMI
Sukabumi,2023,68.49,7.01,KOTA SUKABUMI
Sukabumi,2024,68.97,6.87,KOTA SUKABUMI
Sukamara,2015,65.8,4.32,SUKAMARA
Sukamara,2016,66.4,3.73,SUKAMARA
Sukamara,2017,66.98,3.36,SUKAMARA
Sukamara,2018,67.52,3.19,SUKAMARA
Sukamara,2019,67.95,3.16,SUKAMARA
Sukamara,2020,68.03,3.23,SUKAMARA
Sukamara,2021,68.27,3.66,SUKAMARA
Sukamara,2022,68.94,3.72,SUKAMARA
Sukamara,2023,69.44,3.96,SUKAMARA
Sukamara,2024,69.85,4.14,SUKAMARA
Sukoharjo,2015,74.53,9.26,SUKOHARJO
Sukoharjo,2016,75.06,9.07,SUKOHARJO
Sukoharjo,2017,75.56,8.75,SUKOHARJO
Sukoharjo,2018,76.07,7.41,SUKOHARJO
